Produit,SKU,Client,Logo blanc,Catégorie,Catégorie client,Contenance,Mockup-appli,ADV,Etuis/étiquettes (dernière version validée),Dosage pour,Allégations complètes,Allégations selectionnées,Composition,Liste d'ingrédients,Conseils d'utilisation,Précaution d'emploi,Poids net,Attestation de déclaration,ACL,Mockup,MOCKUP PN - v2 (old),MOCKUP PN - v1 (old),Statut Mockup,Photos du produit
GUARANA,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-tonus-vitalite-guarana-200g.png (https://dl.airtable.com/.attachments/aadd44dfa6c1c8d928dc2bac647e1476/9f07c31d/Sephyto-tonus-vitalite-guarana-200g.png),,SÉ EXE NEXT TONUS VITALITE GUARANA.pdf (https://dl.airtable.com/.attachments/08651fcfd14cab781f156ee241fdf337/6a35032d/SEXENEXTTONUSVITALITEGUARANA.pdf),,,- Diminue la fatigue.,300 mg par gélule,"Ingrédients pour 3 gélules :
900 mg de poudre de graines de GUARANA BIO
dont 31,5 mg de caféine 225 mg d’enveloppe végétale
hydroxypropylméthylcellulose.",1 à 3 gélules par jour,"Complément alimentaire à base de plantes
à but nutritionnel ou physiologique, doit être tenu horsde portée des enfants. Utiliser dans le cadre d'une alimentation variée, équilibrée et d’un mode de vie sain. Ne pas dépasser la dose journalière recommandée. Déconseillé aux personnes de moins de 18 ans sans avis médical.",75 g,,,Sephyto-tonus-vitalite-guarana-200g.png (https://dl.airtable.com/.attachments/a15244194b5327573b539f9de177d71e/30065843/Sephyto-tonus-vitalite-guarana-200g.png),,,Fait,
HARPAGOPHYTUM,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Bio,Sephyto,200 gélules,Sephyto-articulation-harpagophytum-200g.png (https://dl.airtable.com/.attachments/8d3edc14dd1a50ab57924f31a3e0bc78/2dd7a1be/Sephyto-articulation-harpagophytum-200g.png),,SÉ EXE NEXT ARTICULATION HARPAGOPHYTUM.pdf (https://dl.airtable.com/.attachments/6ab719107de4f3d30af094fdd13660c5/e3547a53/SEXENEXTARTICULATIONHARPAGOPHYTUM.pdf),,,- Aide à maintenir une bonne mobilité,330 mg par gélule,"Ingrédients pour 4 gélules :
1,32 gr de poudre de racines d’ HARPAGOPHYTUM BIO et 300 mg d’enveloppe végétale hydroxypropylméthylcellulose.",2 à 4 gélules par jour,"Restrictions :
L’emploi est déconseillé en cas
d’ulcères (estomac ou duodénum)
ou de calculs rénaux.

Précaution d'emploi
Complément alimentaire à base de plantes à but nutritionnel ou
physiologique, doit être tenu hors de portée des enfants. Utiliser dans le cadre d’une alimentation variée, équilibrée et d’un mode de vie sain.
Ne pas dépasser la dose journalière recommandée.
",81 g,,,Sephyto-articulation-harpagophytum-200g.png (https://dl.airtable.com/.attachments/464899ea144207c0ba6b1b45dffc26ff/658977cc/Sephyto-articulation-harpagophytum-200g.png),,,Fait,
HYALURONIC,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Beauté,Minolvie expert,60 gélules,minolvie-expert-hyaluronique-60g.png (https://dl.airtable.com/.attachments/4cc24417c75db4c45e28152918b23efa/33510f66/minolvie-expert-hyaluronique-60g.png),,"EXE MINOLVIE EXPERT 60 GELULES PLAN.pdf (https://dl.airtable.com/.attachments/dae92ee84c27ffb5ff9652060ab5caff/1150b472/EXEMINOLVIEEXPERT60GELULESPLAN.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES HYALURONIC MAT (1).pdf (https://dl.airtable.com/.attachments/a6f733e1953fa07f6b668eb2229d54e1/48350911/EXEV2MINOLVIEEXPERT60GELULESHYALURONICMAT1.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES HYALURONIC DORURE (1).pdf (https://dl.airtable.com/.attachments/cface7570d0a5fc439ba926aeb3d1308/79d01a57/EXEV2MINOLVIEEXPERT60GELULESHYALURONICDORURE1.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES HYALURONIC VERNIS.pdf (https://dl.airtable.com/.attachments/2c9775d32716d2af2fec06bad5101932/bf8ac992/EXEV2MINOLVIEEXPERT60GELULESHYALURONICVERNIS.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES HYALURONIC.pdf (https://dl.airtable.com/.attachments/2c816e7b408646786ea7cbbab72c8f2f/e3982dcb/EXEV2MINOLVIEEXPERT60GELULESHYALURONIC.pdf)",2 gélules),NA,NA,"- ExceptionHyal® Star : Acide hyaluronique issu de fermentation : 250 mg
- Omégia® : Extrait de fruits et graines d’argousier titré en oméga 3-6-7-9 : 250 mg","Agent de charge : Gomme d’acacia ; Omégia® : Extraits de fruits et graines d’argousier (Hippophae
rhamnoides) ; ExceptionHyal® Star : Acide hyaluronique issu de fermentation ; Gélule végétale :
Pullulan ; Anti-agglomérant : Extrait de riz ; Antioxydants : Vitamine C et Vitamine E",2 gélules par jour,"Ce produit est un complément alimentaire à base d’acide hyaluronique et d’extrait de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous anticoagulant. À conserver à l'abri de la chaleur, de la lumière et de l’humidité.","30,18 g",,3760293912844,minolvie-expert-hyaluronique-60g.png (https://dl.airtable.com/.attachments/ca3c3e1f4e48c1ea7b6e510d6b2feb00/606118d2/minolvie-expert-hyaluronique-60g.png),,,Fait,
IMMUNITY,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Voies Respiratoires & Immunité,Minolvie metoo,45 gélules et 30 capsules,minolvie-immunity(1).png (https://dl.airtable.com/.attachments/a5f9ba8298425018728640c0dc4fb95f/0690ccd6/minolvie-immunity1.png),,"EXE MINOLVIE-IMMUNITY+ETUI vernis.pdf (https://dl.airtable.com/.attachments/ea1ecf248c25f1d6f17670141d19b1ac/74f5df60/EXEMINOLVIE-IMMUNITYETUIvernis.pdf),EXE MINOLVIE-IMMUNITY+ETUI.pdf (https://dl.airtable.com/.attachments/8679bd0359ed3e2af8ff6f54605c3c8f/6b079bb6/EXEMINOLVIE-IMMUNITYETUI.pdf)",6 gélules et 4 capsules,"Ginseng:
Contribution cliniquement/scientifiquement prouvée aux défenses naturel et au bon fonctionnement du système immunitaire
Renforce l’organisme
Pallie au manque d’énergie
Supporte le système immunitaire

Andrographis paniculata :
Aide à éliminer les substances nocives du corps (celle la si tu peux l’éviter…)
Aide l’immunité naturelle de l’organisme
Contribue à la résistance de l’organisme
Supporte le mécanisme de défense naturelle, particulièrement au niveau des voies respiratoires hautes.


Echinacea : 
Supporte l’immunité
Supporte les défenses naturelles de l’organisme
Améliore la résistance de l’organisme

Vitamine C :
La vitamine C contribue au fonctionnement normal du système immunitaire
La vitamine C contribue à maintenir le fonctionnement normal du système immunitaire pendant et après un exercice physique intense

Vitamine D :
La vitamine D contribue au fonctionnement normal du système immunitaire

Zinc :
Le zinc contribue au fonctionnement normal du système immunitaire

Pelargonium du cap :
Adoucit le tractus respiratoire
Adoucit la gorge
","- Résistance de l’organisme
- Système immunitaire
- Voies respiratoires","Gélule :
- Wellmune® : poudre de Saccharomyces cerevisiae contenant 75% de ß-glucanes 500 mg
- AHCC® : extrait mycélien de shiitake contenant 10% d’ɑ-glucanes 500 mg
- Extrait de racines de ginseng asiatique titré à 10% de ginsénosides  400 mg
- Kalmcold™ : extrait de feuilles d’andrographis titré à 30% d’andrographolides 200 mg
- Pelapower™ : extrait de racines géranium du cap titré à 300 ppm d’umckalin 200 mg
- Extrait de racines d’échinacée pourpre titré à 4% de polyphénols 200 mg
- Vitamine C 160 mg  200%
- Vitamine D3 50 μg 1000%
- Picolinate de zinc 75 mg 
dont zinc élément 15 mg 150%
Capsule :
- Huile de foie de requin titrée à 20% d’alkylglycérols  2000 mg",Gélule : Gélule végétale : Pullulan ; Wellmune® : poudre de Saccharomyces cerevisiae ; AHCC® : extrait mycélien de shiitake (Lentinula edodes) ; Extrait de racines de ginseng asiatique (Panax ginseng) ; Agent de charge : gomme d’acacia ; Kalmcold™ : extrait de feuilles d’andrographis (Andrographis paniculata) ; Pelapower™ : extrait de racines de géranium du cap (Pelargonium sidoides) ; Extrait de racines d’échinacée pourpre (Echinacea purpurea) ; Vitamine C ; Picolinate de zinc ; Anti-agglomérant : extrait de riz ; Vitamine D3. Capsule : Huile de foie de requin ; Gélatine de poisson ; Stabilisant : glycérol ; Anti-oxydant : extrait de romarin.,3 gélules le matin et 2 capsules le midi ou 6 gélules le matin et 4 capsules le midi,"Ce produit est un complément alimentaire à base d’extraits de plantes, de champignons, de levures, de vitamines, de minéraux et d’huile de foie de requin (poisson). Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 10 ans. Demandez conseil à un professionnel de santé si vous suivez un traitement médical. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",,,,minolvie-immunity.png (https://dl.airtable.com/.attachments/104f36815292b367d9d1d68ba574327f/56bca29b/minolvie-immunity.png),,,Fait,
INSAPONIFIABLE,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Douleur et inflammation,Minolvie metoo,60 gélules,minolvie-insaponifiable-60g.png (https://dl.airtable.com/.attachments/769768eb46a1c3e73a6d8e0c8f4e5a20/c33d4d6a/minolvie-insaponifiable-60g.png),,EXE MINOLVIE ETUI 60 gelules INSAPONIFIABLE.pdf (https://dl.airtable.com/.attachments/0788e6718166c9a83809b863615de996/0cf053f1/EXEMINOLVIEETUI60gelulesINSAPONIFIABLE.pdf),1 gélule,NA,NA,"- Avovida® : 300 mg
Dont extrait d’insaponifiables de graines de soja : 200mg
Dont extrait de fruits d’avocat : 100 mg",Avovida® : extrait d’insaponifiables de graines de soja (Glycine max) - 200 mg - et de fruits d’avocat (Persea americana) - 100 mg ; Agent de charge : gomme d’acacia ; Gélule végétale: Pullulan ; Anti-agglomérant : extrait de riz.,"Prendre 1 gélule par jour, avec un grand verre d’eau pendant le repas.","Ce produit est un complément alimentaire à base de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d’un mode de vie sain et ne pas être utilisés comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. Déconseillé aux femmes ayant des antécédents personnels ou familiaux de cancer du sein. À conserver à l’abri de la chaleur, de la lumière et de l’humidité.",,,,minolvie-insaponifiable-60g.png (https://dl.airtable.com/.attachments/43195457ddb6724e4e406c6434628701/cd6cc8e8/minolvie-insaponifiable-60g.png),,,Fait,
JUNIOR,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Probiotiques,Minolvie - biotic,30 gélules,JUNIOR-mockup.png (https://dl.airtable.com/.attachments/450ffd0a80654f8b6d786c623d502e68/9039f480/JUNIOR-mockup.png),,"EXE MINOLVIE BIOTIC 30 gelules JUNIOR.pdf (https://dl.airtable.com/.attachments/e00ff7b342c3f72d751c4d5355991073/c6496762/EXEMINOLVIEBIOTIC30gelulesJUNIOR.pdf),EXE VERNIS MINOLVIE BIOTIC 15+30 gelules.pdf (https://dl.airtable.com/.attachments/a2a239e3aca9d79bd0d15c7dd7016625/ae6e9ea0/EXEVERNISMINOLVIEBIOTIC1530gelules.pdf)",1 gélule,,"5 souches microbiotiques dosées à 4 Milliards par Gélule :
- LACTOBACILUS HELVETICUS LA102
- BIFIDO BACTERIUM LONGUM LA101 *
- LACTOCOCCUS LACTIS LA103
- STREPTO THERMOPHILUS LA104 *
- LACTOBACILUS RHAMNOSUS *
+
- VITAMINE D3","4*10 9 UFC** :
LACTOBACILUS HELVETICUS LA102 
BIFIDO BACTERIUM LONGUM LA101 microencapsulé

2 mg :
LACTOCOCCUS LACTIS LA103
STREPTO THERMOPHILUS LA104 microencapsulé
LACTOBACILUS RHAMNOSUS microencapsulé
VITAMINE D3 

Autres ingrédients :
Inuline (100 mg) ; Vitamine D3 (2 mg) ; Fibre d’acacia (200 mg) ; Extrait de Nu-rice (xx mg) ; Gélule pullulane
(108 mg)",,1 gélule par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas
être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas
dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes
enceintes ou qui allaitent et aux enfants de moins de 12 ans.","14,64 g",,,JUNIOR mockup.png (https://dl.airtable.com/.attachments/9a0e38f3e9f09e8b029528d2d4804424/2e74fdfa/JUNIORmockup.png),,,Fait,
KERATIN,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Beauté,Minolvie expert,60 gélules,minolvie-expert-keratine-60g.png (https://dl.airtable.com/.attachments/36e28563a2bac6f2143c8c934677bde0/e6ab7c2e/minolvie-expert-keratine-60g.png),,"EXE V2 MINOLVIE EXPERT 60 GELULES KERATIN MAT.pdf (https://dl.airtable.com/.attachments/351361a045053bafd0e677f9fcb502fb/3f0aaa9a/EXEV2MINOLVIEEXPERT60GELULESKERATINMAT.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES KERATIN DORURE.pdf (https://dl.airtable.com/.attachments/bd5e8f7b6ca6f42893c4546bef06b07c/49b61007/EXEV2MINOLVIEEXPERT60GELULESKERATINDORURE.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES KERATIN VERNIS.pdf (https://dl.airtable.com/.attachments/da853de64c85befce8104a4763736cce/cd5d145f/EXEV2MINOLVIEEXPERT60GELULESKERATINVERNIS.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES KERATIN.pdf (https://dl.airtable.com/.attachments/90a970ed291fd31f8c2cde28fab0043e/30651c08/EXEV2MINOLVIEEXPERT60GELULESKERATIN.pdf)",2 gélules,,,"Mélatine® : Hydrolysat de kératine : 325 mg
Cynatine® HNS : Kératine solubilisés : 250 mg
Omégia® : Extrait de fruits et graines d’argousier titré en oméga 3-6-7-9 : 250 mg
",Mélatine® : Hydrolysat de kératine ; Cynatine® HNS : Kératine solubilisée ; Omégia® : Extraits de fruits et graines d’argousier (Hippophae rhamnoides) ; Gélule végétale : Pullulan ; Agent de charge : Gomme d’acacia ; Anti-agglomérant : Extrait de riz ; Antioxydants : Vitamine C et Vitamine E,,"Ce produit est un complément alimentaire à base de kératine et d’extrait de plantes. Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent, aux enfants de moins de 12 ans et aux personnes sous anticoagulant. À conserver à l'abri de la chaleur, de la lumière et de l’humidité.",,,,minolvie-expert-keratine-60g.png (https://dl.airtable.com/.attachments/f8c5ea0c369597887422adcf9beeeb18/0f429cb3/minolvie-expert-keratine-60g.png),,,Fait,
KRILLOGA,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Confort et prévention,Minolvie expert,30 gélules,minolvie-expert-krilloga-30g.png (https://dl.airtable.com/.attachments/27720ed1608358d2cff842139e579c25/0c9fd0d6/minolvie-expert-krilloga-30g.png),,"EXE V3 MINOLVIE EXPERT 30 GELULES KRILLOGA MAT (1).pdf (https://dl.airtable.com/.attachments/f08003f203e86060ce0d3a8179c9c169/00431c6b/EXEV3MINOLVIEEXPERT30GELULESKRILLOGAMAT1.pdf),EXE V3 MINOLVIE EXPERT 30 GELULES KRILLOGA DORURE (1).pdf (https://dl.airtable.com/.attachments/d9c3b3f3757367a122a62b35fff8532c/4e735e11/EXEV3MINOLVIEEXPERT30GELULESKRILLOGADORURE1.pdf),EXE V3 MINOLVIE EXPERT 30 GELULES KRILLOGA VERNIS (1).pdf (https://dl.airtable.com/.attachments/d2d31f0cb7eee431d9464c7e8b7140ae/1fd011e4/EXEV3MINOLVIEEXPERT30GELULESKRILLOGAVERNIS1.pdf),EXE V3 MINOLVIE EXPERT 30 GELULES KRILLOGA 22_12.pdf (https://dl.airtable.com/.attachments/7d17a12d2b26f816ed6cbe96c5f9cdce/45f37832/EXEV3MINOLVIEEXPERT30GELULESKRILLOGA22_12.pdf)",3 capsules,,,"- Huile de Krill : 1500 mg
- Oméga 3 : 375 mg
- EPA : 200 mg
- DHA : 200 mg
- Choline : 75 mg
- Astaxanthine : 0,5 mg
",Extrait lipidique du crustacé krill de l’Antarctique (Euphasia superba) ; Capsule : Gélatine de poisson ; Agent plastiifiant : Glycérol ; Stabilisant : Sorbitol,3 capsules par jour,"Ce produit est un complément alimentaire à base d’huile de krill (crustacé). Les compléments alimentaires doivent être utilisés dans le cadre d'un mode de vie sain et ne pas être utilisés comme substituts d'un régime équilibré et varié. Se conformer aux conseils d'utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. À conserver à l'abri de la chaleur, de la lumière et de l’humidité.","24,00 g",,,minolvie-expert-krilloga-30g.png (https://dl.airtable.com/.attachments/d56f788806bc72f98bcd2206597a8aff/febc7923/minolvie-expert-krilloga-30g.png),,,Fait,
LACTISOM,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Sommeil et sérénité ,Minolvie expert,60 gélules,minolvie-expert-lactisum-60g.png (https://dl.airtable.com/.attachments/142b28d1cd5ddb6d05e9a241270ad0e5/05d2a654/minolvie-expert-lactisum-60g.png),,"EXE V2 MINOLVIE EXPERT 60 GELULES LACTISOM MAT.pdf (https://dl.airtable.com/.attachments/63fd9036036b74d5b2c5667870e95f0e/8ba1d229/EXEV2MINOLVIEEXPERT60GELULESLACTISOMMAT.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES LACTISOM DORURE.pdf (https://dl.airtable.com/.attachments/ff9e9bb5000f1f98dbe7208cbef8f330/eea12b45/EXEV2MINOLVIEEXPERT60GELULESLACTISOMDORURE.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES LACTISOM VERNIS.pdf (https://dl.airtable.com/.attachments/67ae33308810e68e0311a59aaa28baed/0af832a4/EXEV2MINOLVIEEXPERT60GELULESLACTISOMVERNIS.pdf),EXE V2 MINOLVIE EXPERT 60 GELULES LACTISOM.pdf (https://dl.airtable.com/.attachments/98c838e2b7fa0127a8c9642b9fcd33cc/fb0c2f53/EXEV2MINOLVIEEXPERT60GELULESLACTISOM.pdf)",,,,,,,,,,,minolvie-expert-lactisum-60g.png (https://dl.airtable.com/.attachments/dc0ab935474d0c5f0b313b4e8e2ce6b4/9f9294cb/minolvie-expert-lactisum-60g.png),,,Fait,
LIPOMAG-B6,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Sommeil et sérénité ,Minolvie nutra,60 gélules,LIPOMAG-B6-mockup.png (https://dl.airtable.com/.attachments/2069d5a9aae08c080ae7e96431cee17f/1e8d71a5/LIPOMAG-B6-mockup.png),,"EXE MINOLVIE NUTRA 60 gelules LIPOMAG-B6.pdf (https://dl.airtable.com/.attachments/aabbb66b951b5483ce2cfd4f0272df7e/e58827d7/EXEMINOLVIENUTRA60gelulesLIPOMAG-B6.pdf),EXE VERNIS MINOLVIE NUTRA 60 gelules.pdf (https://dl.airtable.com/.attachments/2e8c60fdd953e62140960a5cb017ee21/64004bdd/EXEVERNISMINOLVIENUTRA60gelules.pdf)",2 gélules,,"Riche en Magnésium marin* microencapsulé et vitamine B6
- Contribue au bon fonctionnement du système nerveux et musculaire
- Réduit la fatigue physique et nerveuse
","'- Magnésium marin microencapsulé : 1000 mg
dont magnésium élément (hydroxyde de magnésium) : 200 mg 66%
- Vitamine B6 pyridoxine HCl : 2,1 mg 150%

Autres ingrédients :
Extrait de Nu-rice ; Gélule pullulan 
",,1 à 2 gélules par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans ainsi qu’aux personnes sous anticoagulants.","37,1 g",,,LIPOMAG B6 mockup.png (https://dl.airtable.com/.attachments/66388803f4c059328f4ac17bd41ff03b/c2093a20/LIPOMAGB6mockup.png),,,Fait,
LIPOMAG-TAURINE,,LAFAYETTE,Lafayette-balnc (1).png (https://dl.airtable.com/.attachments/5bf44c2aa711cb550850cc1c8b87ce30/907eee72/Lafayette-balnc1.png),Sommeil et sérénité ,Minolvie nutra,60 gélules,LIPOMAG-taurine-mockup.png (https://dl.airtable.com/.attachments/27dd743820d616346bf62ceb9f3110d1/a9fd587b/LIPOMAG-taurine-mockup.png),,"EXE MINOLVIE NUTRA 60gelules LIPOMAG-TAURINE.pdf (https://dl.airtable.com/.attachments/85e4f239719b29ff5605742fcc3eccfc/0c55804e/EXEMINOLVIENUTRA60gelulesLIPOMAG-TAURINE.pdf),EXE VERNIS MINOLVIE NUTRA 60 gelules.pdf (https://dl.airtable.com/.attachments/293ac9e424efdd85b8d161f7b9fe157c/0a279c54/EXEVERNISMINOLVIENUTRA60gelules.pdf)",,,"Riche en Magnésium marin microencapsulé* et TAURINE
- Contribue au bon fonctionnement du système nerveux et musculaire
- Combat la fatigue et la baisse de tonus","'- Magnésium marin microecapsulé : 500 mg  
- Hydroxyde de magnésium : 100 mg 33%
- Vitamine B6 : 0,525 mg 37%
- Taurine : 40 mg

Autres ingrédients :
Extrait de Nu-rice (xx mg) ; Gélule pullulan (108 mg)",,1 à 3 gélules par jour,"Ce produit est un complément alimentaire. Il doit être utilisé dans le cadre d’un mode de vie sain et ne pas être utilisé comme substituts d’un régime équilibré et varié. Se conformer aux conseils d’utilisation, ne pas dépasser la dose journalière recommandée. Tenir hors de portée des enfants. Déconseillé aux femmes enceintes ou qui allaitent et aux enfants de moins de 12 ans. Peut avoir des effets laxatifs.","45,24 g",,,LIPOMAG taurine mockup.png (https://dl.airtable.com/.attachments/0dcf51b8e536c40ee1e21f5f0be34555/627415c2/LIPOMAGtaurinemockup.png),,,Fait,
